Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
193,A19B,193,0000,000,0000,000,0000,0000,004,0100
193,A19B,194,A19B,19B,E19F,000,0193,E19F,008,1000
194,619E,195,619E,19E,619E,000,0194,8001,009,1001
195,E19C,196,E19C,19C,8001,000,0195,8001,009,1001,19C,8001
196,0200,197,0200,196,0200,000,0196,0000,005,0101
197,319D,198,319D,19D,319D,000,CE62,319D,001,0001
198,319C,199,319C,19C,8001,000,4E62,B19D,009,1001
199,E19F,19A,E19F,19F,B19D,000,0199,B19D,009,1001,19F,B19D
19A,0100,19B,0100,19A,0100,000,019A,B19D,009,1001
19B,E19F,193,0100,19A,0100,000,019A,B19D,009,1001
193,A19B,193,0100,19A,0100,000,019A,B19D,009,1001
193,A19B,193,0100,19A,0100,000,019A,B19D,009,1001
193,A19B,194,0100,193,A19B,000,019A,B19D,009,1001,193,A19B
